01110,21st Century Smoke Vapin Plus Vaping line,CB Distributors Inc.
01111,Jolly Rancher Frozen Beverage Lease Program,Sunny Sky Products
01112,Butterfinger Peanut Butter Cups Minis,Nestlé USA
01113,All Natural Beef Jerky,Tillamook Country Smoker
01114,Kellogg’s Pringles with Dip,Kellogg Co.
01115,Sunny Sky Products Jolly Rancher Dispensed Beverages,Sunny Sky Products
01116,Deli Express sandwiches,E.A. Sween Company
01117,Hershey’s Caramels,The Hershey Company
01118,AdvancePierre Foods Pretzel Flatbread Sandwiches,AdvancePierre Foods
01119,Overhead Pack Merchandisers (OPM),Harbor Industries Inc.
01120,Skippy Squeeze Pouch Display,Diamond Crystal Brands Inc.
01121,Snak Club Grab-And-Go Tube Nuts And Trail Mixes,McLane Company Inc.
01122,GOJO Industries Purell at the Pump UV-Stabilized,Gojo Industries Inc.
01123,Skippy Peanut Butter And Jelly Combo Pouches,Diamond Crystal Brands Inc.
01124,Skippy Peanut Butter Portion Control Packs,Diamond Crystal Brands Inc.
01125,Paper To-Go Food Containers,Seda International Packaging Group – North America
01126,Hot Pockets Panada,Nestlé USA
01127,German Chocolate Layered Brownie,Barry's Gourmet Brownies
01128,Day’n Night Bites Breakfast Calzones,Land Mark Products Inc.
01129,Alto-Shaam Xcelerate Hi-Speed oven,Alto-Shaam Inc.
01130,Barry’s Gourmet Brownies Fudgiest Brownies Ever,Barry's Gourmet Brownies
01131,Ferrero Candy Cane Tic Tac,Ferrero USA Inc.
01132,Trident Unwrapped,McLane Company Inc.
01133,Brownie Bite Cups,Barry's Gourmet Brownies
01134,Skippy's Single Serve Pouches,Diamond Crystal Brands Inc.
01135,Land Mark Day’N Night Bites Bagel Slim,Land Mark Products Inc.
01136,AdvancePierre Cheeseburger and Jalapeño Cheeseburger Roller Grill links,AdvancePierre Foods
01137,Tums Chewy Delights,GlaxoSmithKline
01138,24 2-Ounce Raspberry Brownie Display Box,Barry's Gourmet Brownies
01139,12 4-Ounce Peanut Butter Brownies Display,Barry's Gourmet Brownies
01140,Condiments In Eight Flavors,Arcobasso Foods
01141,Smoking Rolling Papers,Scandinavian Tobacco Group
01142,Honey Bourbon Cigars,CB Distributors Inc.
01143,Protein Drinks,Bolthouse Farms Inc.
01144,Frozen Beverage Dispensers,FBD Partnership LP
01145,Kellogg’s Cheez-It Grooves,Kellogg Co.
01146,F'real Foods Milkshake,f'real foods
01147,Ice Breakers Cool Blasts Chews,The Hershey Company
01148,Welch’s Peanut Butter and Jelly Snacks,Promotion In Motion Companies Inc.
01149,Sunny Sky Products Premium Iced Coffee,Sunny Sky Products
01150,Rolaids Fruit Chews,Lil' Drug Store Products
01151,Vision Ice And Beverage Dispenser,Follett Corp.
01152,E6 Energy Shot,21st Century Brands
01153,USO-Branded Support The Troops Series Lighters,BIC USA Inc.
01154,Sausage And Gravy Stuffed Biscuit,Johnsonville LLC
01155,Ready-To-Drink Kool-Aid,The Kraft Heinz Co.
01156,Samuel Adams Merry Maker,Boston Beer Company
01157,Tornados And El Monterey Brands,Ruiz Foods Inc. 
01158,International Delight Iced Coffee,Danone North America
01159,Shuttle S2000,Ovention Inc.
01160,PFT25 Vapor Tank,Tantus Tobacco
01161,Premium Lemonade,Insight Beverages
01162,Rolaids Ultra Soft Chews,Lil' Drug Store Products
01163,Totino's Pizza Chips,General Mills Inc. 
01164,Frozen Beverage Portfolio,Insight Beverages
01165,Matchbox 1718,Ovention Inc.
01166,Children’s Miracle Network Partnership Program,Convenience Valet
01167,Kraft Foods Salted Caramel,Cocoa,Smoked and Chipotle Peanuts,The Kraft Heinz Co.
01168,Little Debbie Doughnuts,McKee Foods
01169,Swisher Kayak Man Can,Swisher International Inc.
01170,Mars Dove Whole Fruit Dipped in Dark Chocolate,MARS Chocolate North America
01171,Fuel-Price Software,PriceAdvantage
01172,Ready-To-Drink Cold-Brew Coffee,Insight Beverages
01173,Chicken Program,Krispy Krunchy Foods LLC
01174,Tropics Fresh Blends,Manitowoc Foodservice
01175,Kool-Aid Frozen Dispensed Beverages,The Kraft Heinz Co.
01176,Cappuccinos Lattes and Cocoas,Insight Beverages
01177,Cokesolutions.com/Cstore,The Coca-Cola Co.
01178,Little Debbie Snack Cake Varieties,McKee Foods
01179,Ballpark Burgers,Tyson Convenience
01180,Southern Style Chicken Biscuit,AdvancePierre Foods
01181,Angry Orchard Hop’n Mad Apple,Boston Beer Company
01182,Pure Earth Juices,Del Monte Fresh Produce
01183,Cinnabon Snack Cake Varieties,Flowers Foods Snack Group/Mrs. Freshley's
01184,Chicken And Waffles Tornados,Ruiz Foods Inc. 
01185,Glo-Ray Designer Merchandising Warmer,Hatco Corp.
01186,Tic Tac Mixers,Ferrero USA Inc.
01187,Pringles Tortilla Crisps,Kellogg Co.
01188,Beef Jerky Portfolio,Jack Link's
01189,Touchpoint Ice Beverage Dispenser,Lancer Corp.
01190,Zig-Zag Vaporizer Liquid,National Tobacco Co.
01191,Vaping Display,NJOY E-Cigs & Vaping
01192,Mr. Chill Premium FCB Syrups Fountain Syrups And Sugar-Free Flavor Shot,United Fast Food
01193,Go Fish Squirt Fun Novelty Candy,CandyRific LLC
01194,Magica Dessert Dispenser,Carpigiani Corp. North America
01195,Cornelius Viper 4 Barrel,United Fast Food
01196,Matchbox M360 Oven,Ovention Inc.
01197,Hot Spicy Sausage Egg And Pepper Jack Biscuit,Tyson Convenience
01198,Klondike the Candy,Flix Candy
01199,Not Your Father's Root Beer,Pabst Brewing Co.
01200,BBQ Pork Roller Grill Product,AdvancePierre Foods
01201,Rum Coconut Patties,Anastasia Confections Inc. 
01202,Fruit Juice Smoothies,Bolthouse Farms Inc. 
01203,Small Batch Hickory Bacon No. 9,Jack Link's
01204,Camo Beans Floor Shipper,Jelly Belly Candy Company
01205,Snickers Xtreme,MARS Chocolate North America
01206,Red Vines Fruit Vines Bites,American Licorice Co.
01207,Airheads/Mentos,Perfetti Van Melle
01208,Refrigerated Chili,Blount Fine Foods Corp.
01209,Guinness The 1759,DIAGEO-Guinness USA